set,mode,pressure,rpm,orifice,suction,level5,level3,,,,0,,0
,3,720.8057894,1232,19,54.86,2,1,,1.739255803,720.8057894,2.857818266,8.414671498,1232
,3,653.4577738,1253,16,82.68,2,1,,1.917400468,653.4577738,2.815217529,7.805440371,1253
,3,543.334667,1301.5,13,114.47,2,1,,2.058691683,543.334667,2.735067416,7.015309411,1301.5
,3,0,0,10,0,2,1,,#NUM!,0,#NUM!,#NUM!,0
8,1,337.7513099,602,30,1.09,2,1,,0.037426498,337.7513099,2.528597042,8.600257639,602
,1,327.6389952,600,23,2.82,2,1,,0.450249108,327.6389952,2.515395585,7.887008309,600
,1,308.4255973,601,19,4.98,2,1,,0.697229343,308.4255973,2.489150414,7.329151505,601
,1,282.1335792,608.5,16,7.78,2,1,,0.890979597,282.1335792,2.450454778,6.794103283,608.5
,1,236.6281632,625.5,13,11.54,2,1,,1.062205809,236.6281632,2.374066433,6.089360171,625.5
,1,181.0104325,661,10,13.85,2,1,,1.141449773,181.0104325,2.257703606,5.198554668,661
,2,506.9303342,773,30,2.65,2,1,,0.423245874,506.9303342,2.70494828,9.200063007,773
,2,483.2675179,775,23,6.88,2,1,,0.837588438,483.2675179,2.684187606,8.416254712,775
,2,455.05416,782,19,12.52,2,1,,1.097604329,455.05416,2.658063089,7.826504568,782
,2,418.6498272,794,16,19.33,2,1,,1.286231854,418.6498272,2.621850916,7.269314282,794
,2,347.6613782,819,13,28.11,2,1,,1.448860846,347.6613782,2.541156447,6.517937597,819
,2,259.3808712,873,10,32.88,2,1,,1.516931809,259.3808712,2.413937945,5.558297527,873
,3,973.8159024,1216.5,30,11.67,2,1,,1.067070856,973.8159024,2.988476862,10.16439968,1216.5
,3,935.591353,1222.5,23,30.49,2,1,,1.484157424,935.591353,2.971086199,9.315823593,1222.5
,3,880.9848538,1234.5,19,54.54,2,1,,1.736715134,880.9848538,2.944968442,8.671279873,1234.5
,3,796.34478,1255.5,16,81.72,2,1,,1.912328358,796.34478,2.901101138,8.043560296,1255.5
,3,664.3790736,1304.5,13,113.89,2,1,,2.056485593,664.3790736,2.822415945,7.239353964,1304.5
