set,mode,pressure,rpm,orifice,suction,level5,level3,,,,
,2,2369.011957,844,13,18.27,5,3,,,,
,2,1840.239023,895.5,10,24.6,5,3,,,,
,3,6054.950653,1254,30,6.38,5,3,,,,
,3,5866.558231,1261.5,23,17.83,5,3,,,,
,3,5587.154976,1273.5,19,32.96,5,3,,,,
,3,5189.437641,1295,16,53.69,5,3,,,,
,3,0,0,13,0,5,3,,,,
,3,0,0,10,0,5,3,,,,
16,1,2384.483798,635.5,30,0.31,5,3,,,,
,1,2325.832373,634,23,0.96,5,3,,,,
,1,2246.956319,634.5,19,1.86,5,3,,,,
,1,2138.754552,638,16,3.16,5,3,,,,
,1,1920.328555,651.5,13,5.73,5,3,,,,
,1,1548.195375,682,10,8.46,5,3,,,,
,2,3741.455304,813.5,30,0.89,5,3,,,,
,2,3668.646638,817.5,23,2.72,5,3,,,,
,2,3542.141581,821.5,19,5.26,5,3,,,,
,2,3366.490676,831.5,16,9.09,5,3,,,,
,2,2989.705831,854,13,15.65,5,3,,,,
,2,2348.989574,900,10,21.88,5,3,,,,
,3,7691.325412,1270.5,30,5.47,5,3,,,,
,3,7490.191474,1278.5,23,14.79,5,3,,,,
,3,7196.226486,1291,19,28.03,5,3,,,,
,3,6737.531893,1310,16,46.22,5,3,,,,
,3,0,0,13,0,5,3,,,,
,3,0,0,10,0,5,3,,,,
17,1,3694.028548,676,30,0.19,5,3,,,,
,1,3621.219882,674,23,0.53,5,3,,,,
,1,3543.355059,674.5,19,1.02,5,3,,,,
,1,3424.029746,676.5,16,1.78,5,3,,,,
,1,3183.356657,687,13,3.42,5,3,,,,
,1,2673.695998,706.5,10,5.5,5,3,,,,
,2,5957.569063,863.5,30,0.46,5,3,,,,
,2,5881.119964,866,23,1.41,5,3,,,,
,2,5748.244149,869.5,19,2.87,5,3,,,,
,2,5553.480969,878,16,5.01,5,3,,,,
,2,5095.696484,894.5,13,9.44,5,3,,,,
,2,4227.453146,928.5,10,14.78,5,3,,,,
,3,0,0,30,0,5,3,,,,
,3,0,0,23,0,5,3,,,,
,3,0,0,19,0,5,3,,,,
,3,0,0,16,0,5,3,,,,
,3,0,0,13,0,5,3,,,,
,3,0,0,10,0,5,3,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,`
